address,price,link,subarea,bed,bath,sqft,type,Property Age,Gross Taxes for 2017,Strata Maintenance Fees,Area,Sub-Area/Community,Property Type,Title,Listing ID,Primary Agent,Primary Broker,Features,Amenities
1010 E 21st Avenue,2375000,https://www.rew.ca/properties/R2228684/1010-e-21st-avenue-vancouver-bc,Fraser East ,5,3,4040,House,Built in 1923 (95 yrs old),,,Vancouver East,Fraser East,House,Freehold NonStrata,R2228684,,Sutton Group West Coast Realty (Surrey/24),,
316-707 E 20th Avenue,799000,https://www.rew.ca/properties/R2226612/316-707-e-20th-avenue-vancouver-bc,Fraser East ,2,2,865,Apt/Condo,Built in 2010 (8 yrs old),"$1,694",$415,Vancouver East,Fraser East,Apt/Condo,Freehold Strata,R2226612,,Macdonald Realty,ClthWsh/Dryr/Frdg/Stve/DW,"Bike Room, Elevator, Guest Suite, In Suite Laundry"
PH9-868 Kingsway,549900,https://www.rew.ca/properties/R2227789/ph9-868-kingsway-vancouver-bc,Fraser East ,2,2,688,Apt/Condo,Built in 1999 (19 yrs old),$935,$332,Vancouver East,Fraser East,Apt/Condo,Freehold Strata,R2227789,,One Percent Realty Ltd.,ClthWsh/Dryr/Frdg/Stve/DW,
765 E 41st Avenue,2588000,https://www.rew.ca/properties/R2204728/765-e-41st-avenue-vancouver-bc,Fraser East ,6,4,3171,House,Built in 2012 (6 yrs old),"$7,351",,Vancouver East,Fraser East,House,Freehold NonStrata,R2204728,,RE/MAX Westcoast,"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Fireplace Insert, Heat Recov. Vent., Security System",
4452 Prince Albert Street,2899000,https://www.rew.ca/properties/R2226466/4452-prince-albert-street-vancouver-bc,Fraser East ,9,6,3382,House,Built in 2016 (2 yrs old),"$4,986",,Vancouver East,Fraser East,House,Freehold NonStrata,R2226466,,RE/MAX Select Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Garage Door Opener, Security System, Smoke Alarm, Sprinkler - Fire, Windows - Thermo",
747 E 23rd Avenue,1998000,https://www.rew.ca/properties/R2214515/747-e-23rd-avenue-vancouver-bc,Fraser East ,6,4,2204,House,Built in 2002 (16 yrs old),"$5,973",,Vancouver East,Fraser East,House,Freehold NonStrata,R2214515,,Macdonald Realty Westmar,"ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Security System",
656 E 46th Avenue,1638000,https://www.rew.ca/properties/R2218155/656-e-46th-avenue-vancouver-bc,Fraser East ,4,2,1793,House,Built in 1926 (92 yrs old),"$5,306",,Vancouver East,Fraser East,House,Freehold NonStrata,R2218155,,Maxcel Westcoast Realty Ltd.,,
943 E 24th Avenue,1798000,https://www.rew.ca/properties/R2228737/943-e-24th-avenue-vancouver-bc,Fraser East ,2,2,1755,House,Built in 1910 (108 yrs old),"$5,258",,Vancouver East,Fraser East,House,Freehold NonStrata,R2228737,,Dexter Associates Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Security System",
628 E 46th Avenue,2538000,https://www.rew.ca/properties/R2218163/628-e-46th-avenue-vancouver-bc,Fraser East ,6,4,3344,House,Built in 1985 (33 yrs old),"$7,092",,Vancouver East,Fraser East,House,Freehold NonStrata,R2218163,,Maxcel Westcoast Realty Ltd.,,
3569 W King Edward Avenue,2880000,https://www.rew.ca/properties/R2200498/3569-w-king-edward-avenue-vancouver-bc,Dunbar ,5,2,2309,House,Built in 1930 (88 yrs old),"$8,269",,Vancouver West,Dunbar,House,Freehold NonStrata,R2200498,,Luxmore Realty,"Clothes Dryer, Clothes Washer, Drapes/Window Coverings, Refrigerator, Security System, Stove",
4208 Dunkirk Street,6688000,https://www.rew.ca/properties/R2203471/4208-dunkirk-street-vancouver-bc,Dunbar ,5,5,3974,House,Built in 2017 (1 yrs old),"$10,792",,Vancouver West,Dunbar,House,Freehold NonStrata,R2203471,,RE/MAX Select Properties,"Air Conditioning, Clothes Washer/Dryer, Dishwasher, Drapes/Window Coverings, Heat Recov. Vent., Microwave, Range Top, Refrigerator, Security System, Vacuum Blt. In",
4794 Fraser Street,3000000,https://www.rew.ca/properties/R2218258/4794-fraser-street-vancouver-bc,Fraser East ,9,3,2569,House,Built in 1910 (108 yrs old),"$4,936",,Vancouver East,Fraser East,House,Freehold NonStrata,R2218258,,Sutton Grp West Coast Realty,ClthWsh/Dryr/Frdg/Stve/DW,
3587 Mayfair Avenue,3250000,https://www.rew.ca/properties/R2226034/3587-mayfair-avenue-vancouver-bc,Dunbar ,3,2,1807,House,Built in 1963 (55 yrs old),"$8,944",,Vancouver West,Dunbar,House,Freehold NonStrata,R2226034,,RE/MAX Results Realty,"Clothes Washer/Dryer, Refrigerator, Stove",
3234 W 21st Avenue,9980000,https://www.rew.ca/properties/R2212126/3234-w-21st-avenue-vancouver-bc,Dunbar ,6,7,4200,House,Built in 2018 (0 yrs old),"$9,145",,Vancouver West,Dunbar,House,Freehold NonStrata,R2212126,,RE/MAX Crest Realty,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW",Air Cond./Central
4889 Blenheim Street,3298000,https://www.rew.ca/properties/R2223428/4889-blenheim-street-vancouver-bc,Dunbar ,6,3,2250,House,Built in 1936 (82 yrs old),"$7,907",,Vancouver West,Dunbar,House,Freehold NonStrata,R2223428,,Dexter Associates Realty,ClthWsh/Dryr/Frdg/Stve/DW,
PH7-5555 Dunbar Street,1298000,https://www.rew.ca/properties/R2223681/ph7-5555-dunbar-street-vancouver-bc,Dunbar ,3,2,1017,Apt/Condo,Built in 2014 (4 yrs old),"$2,611",$411,Vancouver West,Dunbar,Apt/Condo,Freehold Strata,R2223681,,RE/MAX Crest Realty,ClthWsh/Dryr/Frdg/Stve/DW,"Bike Room, Elevator, In Suite Laundry"
1101-2763 Chandlery Place,525000,https://www.rew.ca/properties/R2222706/1101-2763-chandlery-place-vancouver-bc,Fraserview East ,2,2,858,Apt/Condo,Built in 2000 (18 yrs old),"$1,114",$478,Vancouver East,Fraserview East,Apt/Condo,Freehold Strata,R2222706,,Sutton Grp West Coast (W.Blvd),"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Fireplace Insert, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Elevator, Exercise Centre, In Suite Laundry"
1842 E 64th Avenue,2999000,https://www.rew.ca/properties/R2222029/1842-e-64th-avenue-vancouver-bc,Fraserview East ,8,7,3333,House,Built in 2018 (0 yrs old),"$5,043",,Vancouver East,Fraserview East,House,Freehold NonStrata,R2222029,,RE/MAX City Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Jetted Bathtub, Microwave, Security System, Smoke Alarm, Sprinkler - Fire, Sprinkler - Inground",Air Cond./Central
2790 E 54th Avenue,1650000,https://www.rew.ca/properties/R2222468/2790-e-54th-avenue-vancouver-bc,Fraserview East ,4,3,2576,House,Built in 1964 (54 yrs old),"$4,315",,Vancouver East,Fraserview East,House,Freehold NonStrata,R2222468,,Interlink Realty,,
1715 SE Marine Drive,2500000,https://www.rew.ca/properties/R2224241/1715-se-marine-drive-vancouver-bc,Fraserview East ,3,1,1250,House,Built in 9999 (-7981 yrs old),"$4,387",,Vancouver East,Fraserview East,House,Freehold NonStrata,R2224241,,RE/MAX Real Estate Services,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Refrigerator, Stove",In Suite Laundry
1875 SE Marine Drive,3999000,https://www.rew.ca/properties/R2224239/1875-se-marine-drive-vancouver-bc,Fraserview East ,4,2,3182,House,Built in 9999 (-7981 yrs old),"$5,838",,Vancouver East,Fraserview East,House,Freehold NonStrata,R2224239,,RE/MAX Real Estate Services,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Refrigerator",In Suite Laundry
7906 Elliott Street,2888000,https://www.rew.ca/properties/R2222028/7906-elliott-street-vancouver-bc,Fraserview East ,5,3,3000,House,Built in 1967 (51 yrs old),"$7,060",,Vancouver East,Fraserview East,House,Freehold NonStrata,R2222028,,Sutton Grp West Coast (W.Blvd),ClthWsh/Dryr/Frdg/Stve/DW,
1841 SE Marine Drive,4990000,https://www.rew.ca/properties/R2224243/1841-se-marine-drive-vancouver-bc,Fraserview East ,4,3,3470,House,Built in 1912 (106 yrs old),"$6,396",,Vancouver East,Fraserview East,House,Freehold NonStrata,R2224243,,RE/MAX Real Estate Services,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings",In Suite Laundry
1786 Island Avenue,1699000,https://www.rew.ca/properties/R2224390/1786-island-avenue-vancouver-bc,Fraserview East ,6,3,2540,House,Built in 1973 (45 yrs old),"$5,253",,Vancouver East,Fraserview East,House,Freehold NonStrata,R2224390,,Century 21 Coastal Realty (Surrey) Ltd.,ClthWsh/Dryr/Frdg/Stve/DW,
